01/04/2024, 22:06
Project Statistics

                 	Segments	Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2764	20372	                 112846	                130652	   180	
Remaining:       	    2521	20177	                 110738	                128366	   100	
Unique:          	    1910	16991	                  91684	                106687	    89	
Unique Remaining:	    1902	16946	                  91441	                106406	    89	


Individual File Statistics:

File Name                                  	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
_includes/cheatsheet.md                    	            45	                45	             43	                       43	        206	            206	         202	                   202	                         1109	                             1109	                          1103	                                    1103	                        1264	                            1264	                         1258	                                   1258	
_includes/links.txt                        	             1	                 1	              1	                        1	          7	              7	           7	                     7	                           96	                               96	                            96	                                      96	                          96	                              96	                           96	                                     96	
_includes/omegat-autotext.md               	           349	               349	            322	                      322	        602	            602	         540	                   540	                         4226	                             4226	                          3877	                                    3877	                        4497	                            4497	                         4113	                                   4113	
_includes/omt-alt-trans.md                 	             9	                 9	              9	                        9	        114	            114	         114	                   114	                          604	                              604	                           604	                                     604	                         709	                             709	                          709	                                    709	
_includes/omt-autoprop.md                  	             3	                 3	              2	                        2	         37	             37	          37	                    37	                          183	                              183	                           174	                                     174	                         218	                             218	                          209	                                    209	
_includes/omt-chara.md                     	            22	                22	             21	                       21	        168	            168	         168	                   168	                         1198	                             1198	                          1189	                                    1189	                        1361	                            1361	                         1352	                                   1352	
_includes/omt-conc.md                      	            12	                12	             11	                       11	        155	            155	         155	                   155	                          787	                              787	                           778	                                     778	                         929	                             929	                          920	                                    920	
_includes/omt-edit-nav.md                  	             7	                 4	              5	                        4	         61	             61	          61	                    61	                          429	                              414	                           419	                                     414	                         490	                             475	                          480	                                    475	
_includes/omt-edit.md                      	            19	                19	             17	                       17	        210	            210	         210	                   210	                         1099	                             1099	                          1081	                                    1081	                        1296	                            1296	                         1278	                                   1278	
_includes/omt-empty.md                     	             3	                 3	              3	                        3	         39	             39	          39	                    39	                          200	                              200	                           200	                                     200	                         236	                             236	                          236	                                    236	
_includes/omt-glos-add.md                  	            10	                10	              7	                        7	        101	            101	         100	                   100	                          523	                              523	                           502	                                     502	                         616	                             616	                          595	                                    595	
_includes/omt-glos-ins.md                  	             7	                 7	              5	                        5	         74	             74	          74	                    74	                          403	                              403	                           385	                                     385	                         473	                             473	                          455	                                    455	
_includes/omt-glos.md                      	             7	                 5	              5	                        5	         66	             66	          66	                    66	                          343	                              333	                           333	                                     333	                         404	                             394	                          394	                                    394	
_includes/omt-html-tag.md                  	             2	                 2	              1	                        1	         12	             12	          12	                    12	                           62	                               62	                            53	                                      53	                          73	                              73	                           64	                                     64	
_includes/omt-id-repeateds.md              	             6	                 6	              4	                        4	         77	             77	          77	                    77	                          392	                              392	                           374	                                     374	                         465	                             465	                          447	                                    447	
_includes/omt-ins-src.md                   	             5	                 5	              4	                        4	         47	             47	          47	                    47	                          238	                              238	                           229	                                     229	                         279	                             279	                          270	                                    270	
_includes/omt-inst-verif-macos.md          	            48	                48	             45	                       45	        569	            569	         568	                   568	                         3194	                             3194	                          3169	                                    3169	                        3718	                            3718	                         3693	                                   3693	
_includes/omt-inst-verif.md                	            91	                91	             44	                       44	        953	            953	         581	                   581	                         5279	                             5279	                          3076	                                    3076	                        6150	                            6150	                         3605	                                   3605	
_includes/omt-inst.md                      	             4	                 4	              4	                        4	         43	             43	          43	                    43	                          211	                              211	                           211	                                     211	                         251	                             251	                          251	                                    251	
_includes/omt-intro.md                     	             2	                 2	              2	                        2	         31	             31	          31	                    31	                          186	                              186	                           186	                                     186	                         215	                             215	                          215	                                    215	
_includes/omt-match.md                     	            20	                20	             17	                       17	        263	            263	         263	                   263	                         1332	                             1332	                          1305	                                    1305	                        1576	                            1576	                         1549	                                   1549	
_includes/omt-mk-tgt.md                    	             9	                 9	              8	                        8	        115	            115	         115	                   115	                          613	                              613	                           604	                                     604	                         718	                             718	                          709	                                    709	
_includes/omt-nav.md                       	             4	                 1	              0	                        0	          1	              1	           0	                     0	                           25	                               10	                             0	                                       0	                          25	                              10	                            0	                                      0	
_includes/omt-nav1-panes.md                	             7	                 7	              6	                        6	         71	             71	          71	                    71	                          411	                              411	                           402	                                     402	                         476	                             476	                          467	                                    467	
_includes/omt-nav2-files.md                	             9	                 9	              7	                        7	         79	             79	          79	                    79	                          407	                              407	                           389	                                     389	                         478	                             478	                          460	                                    460	
_includes/omt-nav3-seg.md                  	            34	                34	             28	                       28	        186	            186	         183	                   183	                         1082	                             1082	                          1037	                                    1037	                        1241	                            1241	                         1196	                                   1196	
_includes/omt-nbsp.md                      	             4	                 4	              3	                        3	         22	             22	          22	                    22	                          152	                              152	                           143	                                     143	                         171	                             171	                          162	                                    162	
_includes/omt-other.md                     	             5	                 1	              1	                        1	          3	              3	           3	                     3	                           39	                               19	                            19	                                      19	                          41	                              21	                           21	                                     21	
_includes/omt-pack.md                      	            19	                19	             16	                       16	        136	            136	         136	                   136	                          778	                              778	                           751	                                     751	                         901	                             901	                          874	                                    874	
_includes/omt-qa-comp.md                   	            17	                17	             16	                       16	        178	            178	         178	                   178	                          957	                              957	                           948	                                     948	                        1118	                            1118	                         1109	                                   1109	
_includes/omt-qa-glos.md                   	            20	                20	             16	                       16	        167	            167	         166	                   166	                          906	                              906	                           875	                                     875	                        1057	                            1057	                         1026	                                   1026	
_includes/omt-qa-tags.md                   	            20	                20	             14	                       14	        163	            163	         136	                   136	                          794	                              794	                           654	                                     654	                         940	                             940	                          777	                                    777	
_includes/omt-qa.md                        	             4	                 1	              1	                        1	          2	              2	           2	                     2	                           23	                                8	                             8	                                       8	                          24	                               9	                            9	                                      9	
_includes/omt-rec-match.md                 	            22	                22	             18	                       18	        262	            262	         253	                   253	                         1368	                             1368	                          1302	                                    1302	                        1609	                            1609	                         1536	                                   1536	
_includes/omt-rec-other.md                 	             6	                 1	              0	                        0	          3	              3	           0	                     0	                           44	                               19	                             0	                                       0	                          46	                              21	                            0	                                      0	
_includes/omt-rec-tags.md                  	             7	                 3	              2	                        2	         13	             13	          13	                    13	                          109	                               89	                            80	                                      80	                         120	                             100	                           91	                                     91	
_includes/omt-reps.md                      	            49	                49	             41	                       41	        586	            586	         585	                   585	                         3376	                             3376	                          3306	                                    3306	                        3916	                            3916	                         3846	                                   3846	
_includes/omt-tag-insert.md                	            16	                16	             12	                       12	        157	            157	         149	                   149	                          830	                              830	                           763	                                     763	                         969	                             969	                          897	                                    897	
_includes/omt-tag-intro.md                 	            11	                11	             11	                       11	        126	            126	         126	                   126	                          607	                              607	                           607	                                     607	                         724	                             724	                          724	                                    724	
_includes/omt-tag-iss.md                   	            16	                16	             14	                       14	        202	            202	         202	                   202	                          957	                              957	                           939	                                     939	                        1145	                            1145	                         1127	                                   1127	
_includes/omt-tag-recog.md                 	            13	                13	             11	                       11	        221	            221	         221	                   221	                         1220	                             1220	                          1202	                                    1202	                        1444	                            1444	                         1426	                                   1426	
_includes/omt-tags-com.md                  	             3	                 3	              1	                        1	         16	             16	           4	                     4	                           80	                               80	                            18	                                      18	                          94	                              94	                           21	                                     21	
_includes/omt-targets.md                   	             7	                 7	              6	                        6	         73	             73	          73	                    73	                          369	                              369	                           360	                                     360	                         434	                             434	                          425	                                    425	
_includes/omt-tra-tags.md                  	             6	                 3	              0	                        0	         13	             13	           0	                     0	                          104	                               89	                             0	                                       0	                         115	                             100	                            0	                                      0	
_includes/omt-unpack-and-recent.md         	            79	                79	             69	                       69	        852	            852	         848	                   848	                         4441	                             4441	                          4369	                                    4369	                        5207	                            5207	                         5135	                                   5135	
_includes/omt-ver-tags.md                  	             7	                 3	              0	                        0	         13	             13	           0	                     0	                          109	                               89	                             0	                                       0	                         120	                             100	                            0	                                      0	
_includes/omt61-inst-setup.md              	            63	                62	             51	                       51	        529	            529	         517	                   517	                         2883	                             2878	                          2732	                                    2732	                        3355	                            3350	                         3193	                                   3193	
_includes/preview-in-microsoft-word.md     	             6	                 6	              5	                        5	         94	             94	          83	                    83	                          447	                              447	                           397	                                     397	                         533	                             533	                          473	                                    473	
_includes/preview.md                       	             2	                 1	              1	                        1	          1	              1	           1	                     1	                           12	                                7	                             7	                                       7	                          12	                               7	                            7	                                      7	
_includes/user-id.md                       	             9	                 9	              8	                        8	        113	            113	         113	                   113	                          570	                              570	                           561	                                     561	                         674	                             674	                          665	                                    665	
